GeneSymbol	example_TCGA-BH-A18U-11A-23R-A12D-07
ZNF713	79.4245
RQCD1	218.3962
HMHB1	1.4151
LPXN	291.9811
NCAPH2	743.3962
STON1	491.6415
UNC5C	116.5094
USP14	1131.6038
C21orf88	70.2830
GTPBP3	216.9811
NFKBIB	263.6792
WFIKKN2	6.6038
FAM71A	0.0000
ARPC1B	1130.6604
SNORA45	0.0000
PAMR1	1797.6415
DDX56	966.9811
C2orf70	3.7736
C9orf72	412.2642
LRIT2	0.0000
KCNK13	27.8302
CDC26	76.4151
SH2D6	0.0000
PI16	1446.2264
C5orf48	0.0000
ANXA6	4682.0755
CUL1	1430.6604
OR51A4	0.0000
OLFML3	1802.8302
SV2C	0.4717
RCSD1	593.8679
CAPRIN2	391.0377
BCL9L	2428.7736
RILPL2	625.9434
FAIM2	43.3962
C1orf95	100.9434
FAM186A	1.4151
HERC1	2981.1321
LPAR4	9.4340
KLHL11	75.9434
SLURP1	0.9434
C21orf129	3.3019
CIRH1A	1001.4151
SNORD115-31	0.0000
DDX47	1083.0189
C1orf96	508.0189
LSM6	170.7547
ROBO3	264.6226
ELN	1545.2830
C9orf50	0.0000
NPFFR2	0.4717
LOC143188	25.4717
HS3ST1	126.8868
MMP27	3.7736
ERMP1	1307.6745
PLEKHA1	858.4906
NINJ1	1441.0377
CYB5D2	547.6415
ATP5B	7758.0189
FLJ25363	0.0000
C19orf10	1023.5849
LOH12CR1	85.8491
STXBP2	963.6792
KRT38	0.0000
KIF15	42.4528
PXT1	0.9434
CD9	6120.2830
ZNF578	57.0755
HAS1	102.8302
MZF1	287.3491
LOC100190986	323.5849
TPD52L2	2281.1321
PTBP2	423.1132
ECM1	390.0943
TMEM218	282.5472
ULK4	81.6038
MTMR7	44.8396
FAM5C	0.4717
C20orf135	48.1132
GOLGA6L1	0.0000
OR10G4	0.9434
ANKRD1	2.3585
FLJ40504	0.4717
C12orf27	1.4151
AQP1	11936.2170
SCYL3	457.6274
SPSB4	11.3208
CHMP5	1102.7877
ADAM23	14.6226
KLRG1	16.0377
GSDMD	790.5660
CELA1	0.0000
PDK1	296.2264
ADAMTS8	54.7170
CCDC74B	66.5094
RAB43	382.6226
OR2C3	0.4717
POLR2J4	267.3349
LIPC	11.3208
VPS29	920.7547
RPS6KA1	926.8868
ZNF549	273.1132
TIGD7	309.8538
NXNL1	0.9434
C6orf145	1515.5660
WNT3A	2.8302
PIGW	200.4717
CLDN18	1.4151
CUBN	91.0377
RTDR1	6.1321
LOC647121	42.9245
SGCE	1075.0000
UBE2N	1576.4151
SRRM3	45.7547
ZNF561	1260.3774
SPINT3	0.0000
GABBR2	8.4906
NYNRIN	1121.6981
APPL2	1321.6981
WDR72	51.4151
GPR107	3160.3774
FADS3	520.7547
SPINK7	0.0000
CD72	37.7358
EXD1	0.4717
SRPR	4164.1509
SMARCAD1	979.2453
RRS1	295.2830
ERBB3	5674.5283
UGT2B7	8.0189
PPP1R14B	439.1509
TMEM111	923.5849
ANKS1B	103.3019
CERCAM	641.9811
KRTAP1-5	0.4717
C4orf12	45.7547
RBM22	1130.6604
MET	2915.5660
JAZF1	473.1132
FKSG29	0.0000
ING4	799.5283
POU5F1B	30.3255
DYNC2LI1	319.8113
CACNG2	0.0000
LAMB3	4882.0755
THAP11	522.1698
ZNF593	229.7170
C1orf74	145.7547
HSBP1	2279.2453
RNU11	0.0000
CNFN	40.0943
ATRNL1	75.4717
SNX19	2210.3774
LASS5	802.3585
B3GALNT2	763.0519
SEPT8	1559.2358
TRAPPC10	1270.2830
ERP29	2320.2830
PROCR	273.5849
ABCC1	1151.4151
MKRN1	2334.9057
ALG1L2	0.0000
FBLN5	2933.0189
PTP4A2	2498.5849
ESX1	0.4717
TMEM14E	0.0000
MRPL11	456.1321
C11orf66	23.1132
BAG3	1653.3019
SHCBP1	70.7547
PTPN20B	116.9811
AKAP13	4399.5283
FLJ37201	14.1509
AKAP5	105.6604
ZNF833	41.5094
ATG3	749.5283
MBP	1397.6415
HDDC3	155.1887
DAPK2	452.8302
RASL11A	135.8491
TMEM92	1.8868
STK40	1795.2830
KRT36	0.0000
TAF8	444.3396
BCAM	4841.5094
GLMN	140.0943
PPIB	4943.7594
MYB	1669.8113
RAET1K	0.9434
SLC44A5	167.4528
LRRC43	9.9057
GADL1	0.0000
IQCF1	0.0000
NBL1	4826.0613
C12orf59	22.6415
ZNF738	176.8868
LDHA	7575.4717
PRSSL1	0.0000
CDK10	520.2830
SERPINB3	0.0000
SLC30A7	718.8679
ESPNP	1.4151
KCNN4	742.9245
IFIT3	662.2642
PSMC6	882.5472
NIN	1219.3396
ADCY7	475.0000
GABRA6	0.0000
STK32B	149.5283
PBRM1	1892.4528
DHDDS	934.9057
SLC7A6OS	162.4198
RAD17	700.0000
BCL3	592.4528
TEAD2	1051.8868
RPP30	454.7170
RPL26L1	116.0377
OS9	6821.6981
ERCC4	308.9623
EIF2S1	1466.9811
VHL	897.6415
RPL8	20959.4340
CA11	340.0943
MRPS21	734.4340
ELMOD3	584.4340
LPAR1	436.3208
C16orf90	0.0000
NUCB1	5263.6792
FPR3	255.1887
CCDC17	11.3208
LOH3CR2A	113.2075
PFAS	451.4151
PRAMEF17	0.0000
TSHZ3	500.4717
RASA2	257.0755
USP21	456.6038
C1orf97	83.0189
CUEDC2	610.3774
SLC16A7	87.7358
ITGA7	1107.5472
ARHGEF4	179.2453
ZNF775	30.1887
VIP	2.8302
PKD1L3	4.2453
C1orf87	0.0000
SNORA49	0.0000
UXS1	548.5849
GOLT1B	773.5849
PFN2	1745.7547
HOXB13	10.3774
MALT1	756.6038
CAMP	0.9434
GPR34	294.3396
MAB21L1	69.3396
PDHA1	1146.4858
H3F3A	2465.0943
TBP	294.8113
CCDC112	191.0377
KIAA0284	1379.7170
RNF183	63.2075
ZNF404	63.2075
MCM7	1733.3774
GIF	0.0000
ST8SIA6	131.6038
SNORD79	0.0000
C10orf118	1105.1887
APOBEC4	0.0000
CASD1	776.4151
C1orf203	83.5047
CHD4	6641.3774
GSK3A	1258.4906
FBXL16	248.1132
PRIC285	654.7170
IFT88	246.6981
SOCS2	653.7736
PCK2	506.1321
TJAP1	643.8679
RGS6	82.5472
GTF2F1	1570.7547
RND3	3154.2453
LCN6	16.0377
PCDHB5	191.0377
LOC144742	0.0000
SNORD88C	0.0000
KRTAP5-7	0.0000
SHISA6	15.0943
CD226	23.1132
INTS4L1	9.9057
GRM1	1.4151
AFARP1	2.8302
CCDC73	42.1085
PECI	949.0472
CRELD1	591.9811
E2F7	53.3019
SCRN2	894.8113
GJA5	416.5094
SNAR-F	0.0000
TBCEL	348.5849
JAG1	1951.8868
SETD5	2982.5472
TCEAL6	18.3962
DGCR10	0.4717
OSBPL3	361.3208
SNORD115-35	0.0000
LRRN1	630.1887
MUC7	30.6604
YPEL3	813.6792
NSUN5P2	306.4009
C22orf45	3.3019
C4orf43	313.2075
SNORD36B	0.0000
MEOX1	340.5660
SALL4	8.4906
OSTalpha	18.3962
RUNX1T1	101.8868
SSNA1	494.3396
SNORD116-27	0.0000
SLC35B2	1480.1887
FUT10	229.7170
RPA1	2404.2453
C20orf134	21.6981
TBC1D22B	484.5849
PLA2G3	2.3585
SORT1	2917.9245
KAT2A	801.4151
NTRK1	3.3019
TTC32	79.2453
FUBP1	1688.2075
C2orf64	409.9057
NFIB	7744.8113
STAC3	18.3962
MS4A10	0.0000
NOP56	1408.9623
TNFRSF1B	1133.0189
CD300LF	16.9811
ATF5	685.8491
CRIM1	7915.5660
C4orf6	2.8302
FFAR1	0.0000
TIMM22	341.5094
GIN1	131.1321
CETN4P	0.9434
CD151	6099.5283
IRAK3	518.3962
SPG20	1772.1698
SEPW1	3064.1509
OR1J1	0.0000
HRASLS	40.5660
SEH1L	844.3396
WDR54	97.1698
PVRL3	152.8302
TRAM1	4613.2075
WDR66	91.5094
RNGTT	372.6415
NOC2L	1311.6604
EXOC6B	261.7925
NR2C1	426.8868
MAPK15	50.0000
RNF38	1729.7170
AACS	1004.2453
SCNN1D	24.0566
IL22	0.0000
ASAH1	4940.5660
RPRD2	1805.6604
TPK1	53.7736
LRRC8A	1749.5283
C1orf131	157.0755
GAL3ST4	287.7358
ZFYVE20	1174.0566
RECQL	858.7972
ARL4C	1850.0000
ZNF735	0.0000
CD109	1291.0000
PVT1	66.5094
GCH1	309.9057
SPANXA2	0.0000
RANBP3L	98.5849
KTN1	5698.5849
WBP2NL	18.8679
PJA2	5115.5660
C2orf49	143.8679
PDPR	1429.5377
OR52N5	0.0000
NLRP12	2.8302
LEF1	78.3019
GNB2	2649.5283
FAM122B	662.2642
TYR	0.4717
LOC654342	463.2075
KDM1B	530.6604
RP9	83.9623
RASIP1	503.7736
CCDC115	848.5849
NAT8L	95.7547
SFXN2	391.9811
FAM188B	235.9528
CYP2W1	0.0000
TAT	375.9434
PRSS54	0.0000
KCNQ4	19.3396
BOLA2	371.8443
NKX3-1	226.4151
PAXIP1	409.1132
ITGB4	6205.1887
CDKN1B	1239.6226
ANGPTL2	3692.4528
CDV3	4590.5660
EXTL2	436.3208
APOBEC3G	315.5660
NDRG4	179.2453
OR2W5	0.0000
AUH	253.3019
LOC100134259	30.6604
STXBP6	35.3774
MON1A	141.5094
SH2B1	1248.5849
NLRP5	13.6792
SLC27A3	573.5849
OR4K1	0.0000
RHOBTB2	838.8113
RBMY1A1	0.0000
MANEAL	182.5472
SMAD5	1755.1887
EPHA3	41.9811
LIAS	153.7736
TCF12	2057.5472
ACOT13	478.2547
HLA-L	29.2453
TIMP1	3377.3585
RPL19	16446.6981
TMEM44	149.0566
SPIB	5.1887
MTMR9L	147.1698
NPY6R	3.3019
C7orf53	19.3396
SNED1	546.6981
LOC344595	235.3774
NCRNA00159	0.0000
CCDC46	258.9623
XBP1	27875.0000
KIAA0913	2195.2830
PREX2	161.7925
ZBED1	1336.3208
HADHB	2450.0000
EPAS1	6516.0377
VEPH1	202.8302
LOC400027	307.0755
RWDD1	886.7925
OR2F2	0.0000
CTSG	180.1887
LSP1	953.7736
DND1	73.1132
SYCE1L	1.8868
C3orf22	0.0000
C4orf32	951.8868
ENPP7	0.0000
CCDC37	0.0000
LYPD3	542.4528
IL18RAP	16.9811
FST	269.3396
TCTEX1D4	9.9057
IFT81	387.2642
SERF2	4310.1981
TGFBR2	7741.0377
C6orf41	9.4340
PNOC	3.7736
VGLL3	845.7547
BRD3	828.1604
PICK1	418.3962
MUC4	17.4528
ADAMTS12	98.5849
LRRC34	60.8491
KLK14	201.4151
FAM53A	18.3962
PLCXD2	31.1321
SNRNP200	7522.1698
HMGN1	2686.7925
OR6W1P	0.4717
RRAD	88.2075
CD180	109.9057
ZNF771	25.4717
KDM3A	1883.0189
PSKH2	0.0000
RAMP3	754.7170
BCAS1	147.6415
LOC254312	0.0000
LOC400927	46.7075
C16orf68	166.9811
GEMIN6	110.3774
SSRP1	2975.0000
GLT1D1	13.6792
ATG2A	683.4906
SLC22A12	8.9623
PSMA2	1373.3538
COPS6	1270.2830
NXF4	0.0000
C17orf90	229.7170
OR5L1	0.0000
C13orf23	874.5283
SIGLEC7	22.1698
TMX2	1496.2264
TMED3	1772.1698
PRR18	2.8302
DHRS1	588.2075
PIGU	335.3774
CHAF1B	283.9623
MTBP	113.6792
ZDHHC18	580.6604
FAM41C	16.0377
YWHAG	3761.7925
NDUFA2	472.1698
SLC12A5	0.9434
IMPG1	7.0755
PPFIA3	104.2453
RPL10	16265.9104
PTPRJ	901.4151
RAB6B	364.6226
COMMD10	322.6415
XIRP1	20.2830
SLC16A10	41.5094
DGKA	558.0189
RORB	15.5660
CUL3	2026.8868
RCAN1	8129.7170
GTF2B	662.7358
LRRC37A2	283.4104
C6orf165	13.2075
ATP12A	5.1887
TEX101	0.0000
PTPRC	723.5849
ICAM1	1213.2075
NT5C2	1619.3396
CEACAM6	189.1509
FLJ42627	40.0943
PACRG	21.6981
KRT19	11543.3962
AKR1E2	43.8679
POLR3H	1451.9198
CA13	236.4858
IGHMBP2	419.3396
MR1	212.2642
SIM1	88.2075
SNORA79	0.0000
DLEU2L	9.9057
KIAA0495	807.5472
DNAJC8	1568.8679
ZNF831	47.1698
ABLIM3	938.6792
ZNF224	309.8915
TOX3	335.8491
EZH1	1444.8113
PARM1	841.9811
TMEM209	573.5849
OR5AK2	0.0000
CCDC148	33.0189
GRK6	584.4340
CA1	5.1887
COX7B2	0.0000
ARMCX3	1772.1698
KCNG1	26.4151
BCAP31	3803.7736
PPP3R1	1550.9434
MST1P2	114.6226
CBWD6	202.8302
CLLU1	5.6604
PLCB2	300.0000
SNAR-D	0.0000
C14orf68	0.4717
EMILIN2	402.8302
OR10R2	0.0000
KCNK7	4.2453
DMKN	504.7170
CCL14	1397.1557
ZNF415	273.1132
RNF146	785.3774
SKAP2	1185.3774
APOC1	196.6981
CDH17	2.8302
SKINTL	1.8868
ACPP	30.1887
C1QTNF1	624.5283
NOP58	1221.2264
MTL5	245.7547
CHRNB4	2.8302
AFAP1L1	476.4151
EMG1	427.8302
KATNAL2	53.7736
STEAP3	1781.1321
CCR5	112.7358
RABEP1	4232.4245
MAPK6	1299.5283
KCNJ11	116.5094
ORAI1	280.1887
SNORD115-7	0.0000
CYP46A1	18.3962
NOVA1	427.3585
CCDC123	471.6981
NLRP7	6.1321
MRPL33	392.4528
KIAA1383	101.8868
UGT2B11	56.0708
HEATR7B2	0.0000
CNTN2	9.4340
GATA3	2819.8113
HIBADH	1094.3396
NOTCH3	3595.2830
DIO1	31.1321
CXorf23	266.5094
ABRA	0.4717
MAL	19.3396
FAM46B	1284.9057
GRIN3A	88.2075
CBFA2T2	829.7170
RPS29	5652.3585
TAF13	184.9057
C22orf43	2.3585
ASPN	338.6792
UPF3A	735.8491
SNRPE	600.4717
OR5M10	0.0000
DLGAP1	74.5283
PLAG1	48.1132
CXADRP2	0.4717
CXorf27	0.0000
FMO5	450.0000
MPL	43.8679
VDR	1023.1132
NRADDP	1.4151
C1orf182	0.4717
CSPG4	427.3585
IRF6	2391.5094
CABC1	1402.7358
LMAN1	3912.2642
DDB2	669.8113
PDE2A	1150.0000
CSMD3	0.9434
C2CD4C	26.4151
ZNF777	368.8679
POLDIP2	1788.3585
RPAP3	563.2075
FOLR1	933.0189
DDN	7.5472
ZNF787	324.0566
CPE	3730.1887
SERINC3	3139.1509
TIAL1	1301.8868
FLT1	1152.3585
TMEM154	185.3774
ACVRL1	710.8491
IMMT	1617.4528
L1CAM	176.4151
DIP2A	941.0377
LYG1	5.6604
MTNR1A	0.4717
GPR17	29.2453
KIAA1409	8.4906
KIR2DS4	0.0000
C5orf20	7.0755
DNAJB12	1429.7170
DNASE2B	4.2453
NAA35	469.3396
CHEK2	194.8113
CLRN2	0.0000
ZNRF4	0.0000
KIAA1324	7102.3585
MDFI	594.8113
ANO5	58.4906
OR4A5	0.0000
FABP7	2109.9057
NBPF10	1706.7170
TNKS2	2267.4528
GGA2	2850.0000
C18orf62	0.0000
FREM1	256.6038
SNORD121A	0.0000
PON1	2.3726
C5orf34	53.3019
PGBD3	121.5802
C2orf40	672.6415
CHST11	58.9623
GNG3	2.8302
SPAG11B	0.0000
CSDC2	34.9057
KLF8	544.3396
ASPHD1	23.5849
TMEM95	0.0000
SLC22A7	0.0000
TTR	0.0000
XPNPEP1	1051.4151
LOC401397	508.0189
FDPS	1506.6462
NLRP3	131.6038
PMS2L5	57.0755
UVRAG	813.2075
LAIR2	0.4717
SNRPG	472.6415
SLC22A17	904.2453
SLC25A40	232.0755
?	0.0000
LOC285847	0.4717
OTUD4	1462.7358
GHR	1004.2453
KBTBD8	33.4906
SDHAF2	543.3962
GMPPA	544.8113
TUBA3D	7.5472
ARMCX2	852.3585
ENPP1	1305.6604
HDAC11	609.4340
RGS5	3958.4906
SLC25A32	637.3491
LOC100129550	276.4151
STAT3	7201.8868
IL10	6.1321
OCM	1.8868
RSC1A1	359.6934
EPHB1	729.7170
CHML	616.5094
MNAT1	206.6038
EHHADH	384.9057
CYP2C19	0.0000
PLEKHH1	332.3679
ZNF662	410.8491
C20orf7	126.4151
NINL	392.4528
PRAMEF6	0.0000
SNORA1	0.0000
UGT1A8	0.0000
TUBG1	497.6415
SERPINB4	4.7170
TMC1	0.0000
DPRX	0.4717
LGI1	6.1321
AAGAB	1084.9057
GALE	333.4906
AZI2	1142.9245
CXCR6	45.7547
FBXO22OS	45.9151
TYRO3	303.7736
SLC12A6	737.8160
GSTP1	3691.0377
ZNF677	65.5660
MPI	666.0377
C19orf44	205.0142
PRR20D	0.0000
C3orf52	196.2264
PMS2CL	105.6604
TAS1R2	0.0000
CEACAM19	97.6415
GRHL1	1736.7264
FABP1	0.0000
C8orf79	634.9057
RGPD5	112.5660
ZNF212	283.9623
TIGD2	260.8491
C20orf152	0.4717
PNMA6A	33.0189
SNORD53	0.0000
COX7A2	897.1698
PPP1R14A	67.9245
COLEC12	740.0943
PGF	287.7358
AGAP3	1358.0189
DEPDC1B	42.4528
RGS19	156.1321
TIMM13	628.7736
STARD6	0.0000
FAM182A	5.1887
C12orf44	688.2075
SHANK3	998.1132
BMP2K	507.0755
WBP2	3092.4528
HMGCL	563.2075
C17orf57	64.1509
CRISPLD2	1654.2453
AKR1A1	1526.8868
MRRF	394.8113
REV3L	1301.4151
LOC388946	0.0000
FAM35B2	74.5283
CACNG3	0.0000
TEX2	2580.1887
ACAA2	1426.8868
MED23	1240.5660
PLBD2	671.2264
LENG1	115.5660
NTN3	3.3019
ABHD14B	1733.4906
SNAP29	1163.2075
CELF2	1217.4528
PPP1R9B	1029.7170
HS3ST3B1	7.0755
C1orf230	0.0000
AAA1	0.0000
TRIM8	1846.6981
LOC440925	16.9811
WDR59	772.6415
VAV3	1470.2830
ARHGAP4	338.2075
NUDT22	190.7358
ZNF511	288.2972
MGAT2	611.3208
NME1	671.0094
COQ2	136.3208
METTL13	821.2264
KRTAP19-2	0.0000
GSTO2	361.7925
HIPK2	2811.3208
C13orf37	280.6604
ZNF592	1626.8868
RMRP	8.0189
EFHA2	125.4717
MRPS28	187.8679
HIAT1	1430.1887
PUM2	3764.6226
KLC3	204.7170
KLHDC4	126.6509
EXOC3L2	19.8113
LOC285401	0.0000
PTPRB	1365.5519
SPNS2	612.4151
SPP1	466.9811
PSPN	0.0000
PLD6	88.2075
LIPK	1.8868
CHN1	302.3585
ZNF138	205.6604
TNFSF15	18.8679
TMEM33	1214.1509
CWF19L2	532.0755
KDM2B	698.4434
AREG	325.0000
BARX1	1.8868
C17orf72	33.8302
LOC100132831	0.9434
CPNE3	3241.5094
LOC100129055	0.4717
AARSD1	442.4528
LOC100272228	59.4340
ARPC1A	1638.2075
TMEM114	0.0000
RPS10	5982.0755
ADAM6	18646.1651
ALOX15	55.6604
C2orf47	219.3396
SCGB1A1	0.0000
BPY2	0.0000
IPO13	651.4151
TTC36	18.8679
GTF2H4	399.5000
SNORD15A	0.0000
RIN1	108.9623
MIXL1	0.0000
CLEC18A	12.1179
BIRC8	0.0000
MAP6	174.5283
C1orf141	0.0000
ZCCHC2	617.2925
ZADH2	1015.5660
SCYL2	1189.1509
PARS2	89.6226
PDIA3P	2066.0377
SDK2	562.2642
EML2	830.1792
GIPC1	1170.2830
UBIAD1	633.4906
FLJ90757	703.3019
C4orf27	374.0566
MUC17	0.0000
FKBP1A	3268.4717
ZNF101	144.3396
YRDC	368.8679
FARP1	2588.6792
OR4K2	0.0000
WRAP53	163.6792
CALD1	13458.9623
PSMD11	793.8679
CDH6	63.6792
ANXA4	1458.9623
KIAA1217	6144.0236
PRL	0.0000
DNAH11	7.6604
KCNRG	18.1321
SLC22A13	1.8868
COMMD6	1277.8302
CLPS	0.0000
C3orf18	239.6226
SLCO1A2	79.2453
RPL10L	0.0000
PDLIM2	330.6604
FLJ10038	406.5755
IL32	390.0943
TMEM53	163.9057
FEM1C	1031.6038
TRAF3IP3	108.0189
LNPEP	439.1509
ANKRD5	191.0377
FHAD1	6.1321
VLDLR	635.8491
GJB5	72.1698
SEC24A	945.2830
HSD11B1L	81.6038
KRTAP10-7	0.0000
FOXF2	41.5094
FRMD8	910.3774
HDAC5	2045.2830
PAPOLB	2.3585
HIST1H2BA	0.0000
C1orf59	255.6604
RETNLB	0.0000
HEXA	1620.9434
SLC7A2	1570.2830
C9orf156	312.7358
C6orf223	2.8302
ZBP1	27.8302
EFCAB1	108.0189
SNORD70	0.0000
ZNF277	380.6604
STIP1	1933.0189
HYAL1	121.6981
PPARGC1A	80.6604
HLCS	950.4717
C16orf88	290.5660
PSAP	26230.1887
HAT1	965.0943
CYP11B1	0.0000
DDX10	475.0000
JPH4	24.0566
STH	0.4717
FLCN	609.4340
KIF2B	0.0000
FLJ37453	85.8491
PPP1R2P1	3.7736
NCRNA00099	0.0000
WWC1	1972.1698
ATG9A	1410.1415
NEUROG3	0.0000
PTGDR	31.1321
FLJ34503	5.6604
SNORD12B	0.0000
ARHGAP30	516.9811
ACTR1A	1991.9811
NCRNA00169	1.4151
SNORA26	0.0000
PCA3	0.0000
GTF2H2	194.8113
SDPR	2057.5472
LOC644669	0.0000
BARHL1	0.0000
ZNF75D	445.1651
POLE3	1242.9245
TMEM120A	489.6226
RASGRP1	165.5660
RECQL4	134.9057
CBLN4	312.7358
LILRB5	158.9623
RPL23AP7	66.0377
DPY19L2P2	16.5094
TBC1D17	849.6840
DCDC2B	0.5000
TP53INP2	1005.1887
CTXN2	0.9434
ZNF254	397.1604
SYNGR2	2838.2075
OR52I2	0.4717
UPK1B	0.0000
DDT	320.4151
CXCL5	15.0943
MEX3B	54.7170
PRKCDBP	178.3019
SHISA4	146.2264
MPZL2	1366.5094
LETM1	864.1509
TCEAL2	95.7547
CIT	162.2642
ARGFX	0.0000
TRNP1	319.3396
MRPL1	267.4528
VPS8	802.3585
?	124.0566
TOMM5	665.5566
FBXO36	150.0000
LNX1	353.7736
NGLY1	575.0000
RBM14	969.5755
GCM1	3.7736
ZFYVE21	1066.0377
ACVR2A	469.3396
SLC25A19	125.4717
RABL2B	446.2264
TEX261	2597.1698
STT3A	3413.6792
COPS7B	612.7358
GRXCR2	0.0000
C4orf21	103.3019
RTEL1	319.0849
VWA3A	4.7170
OR5D13	0.0000
LOC400931	75.0000
ZFP1	234.4340
ARHGAP24	327.3585
TSEN15	518.8679
CT47A11	0.0000
ZNF248	390.5660
INSL6	0.0000
LRRC10	0.0000
TRPC2	1.8868
LOC283867	0.4717
IRAK2	135.3774
PART1	131.6038
CYLD	1682.5472
ANPEP	7781.1321
LOC100133957	4.8349
DHX15	2930.1887
PHF23	821.2264
KCNG2	0.0000
SDK1	433.9623
PTGIS	1448.1132
TP73	67.9245
HDX	46.6981
GDAP2	354.2453
LRRC42	576.4151
TRIM7	19.3396
ZNF493	329.7170
RSBN1L	526.5189
AKT1S1	687.7358
SNORD35A	0.0000
MT1H	1.8868
SLC25A17	570.7547
JAG2	1256.1321
C2orf77	300.9434
EYS	17.4528
TMTC4	314.6226
TECPR1	327.8302
OR51A7	0.0000
TMEM101	600.4717
FOXRED2	700.4717
?	96.6604
RAB22A	1172.6415
C2orf82	16.0377
ZNF30	111.3208
DNAJB6	1866.9811
C2orf76	58.9623
KCNG3	1.8868
FAM171A1	740.0943
MRP63	476.4151
COX5A	808.0189
SNX20	26.2358
FGD2	148.1132
DKK4	6.6038
ZNF768	780.7500
OR6B3	0.0000
ZNF439	198.1132
TRPM3	11.7925
GSTTP1	0.0000
ZNF571	93.8679
TARDBP	3351.8868
HTR7P1	245.7547
ANKRD26P1	0.4717
IL5	0.0000
BRSK1	74.0566
H2AFZ	1496.6981
NDUFS6	417.4528
NUP214	1618.8679
DIRAS1	238.6792
CCL4	151.4151
APOLD1	2021.2264
HLTF	1215.5660
LOC200030	756.0189
SNAR-I	0.0000
GLRX2	47.6415
RPL32	15742.9245
HOMER1	222.6415
DYNLL1	2432.0755
SNX18	1662.7358
ANXA3	1661.3208
TAAR5	0.0000
LRRTM4	6.1321
MAP1LC3B2	217.9245
SENP8	50.4717
CRNKL1	1010.8491
KIAA0087	4.2453
CLRN3	0.4717
TBL2	614.1509
CHST7	68.3962
PDCD1LG2	162.7358
ZFP91-CNTF	4.1604
LOC728613	158.9623
ST8SIA5	0.4717
P4HA3	28.7736
GLYR1	2190.0943
PGM2	649.0566
AGPAT5	514.1509
TBC1D21	0.0000
GOT1L1	0.0000
TRANK1	667.9245
C21orf54	0.0000
SFT2D3	245.2830
CYP24A1	7.5472
COTL1	1425.9434
RAB5A	1467.9245
C7orf36	183.4906
CHAC1	19.3396
VSNL1	187.2642
ZBED4	707.5472
PTRH2	349.5283
REPS1	1028.7736
DEXI	446.6981
POLR3G	93.3962
TRAF4	1408.4906
ATP11A	833.4906
FSTL5	1.8868
RTKN2	57.0755
ITPRIPL2	1456.6038
SCN2A	264.1509
C14orf167	687.5189
ERICH1	302.8302
SNRPB	1892.9245
CHCHD4	224.0566
MBOAT7	813.6792
TSNARE1	272.1698
FAM178B	8.9623
ZNF500	240.0943
GATAD1	1064.1509
EXOSC4	196.2264
C1orf27	791.9811
KLF16	448.1132
NES	3450.0000
MOV10	870.7547
XKR4	4.2453
AGFG2	530.6604
XRN2	2461.7925
RPL10A	12346.2264
OR4K17	0.0000
CLDN17	0.0000
PLN	51.8868
C18orf25	722.1698
C17orf48	188.2075
SUN3	0.0000
CCL28	1754.7170
SCARNA7	1.8868
C1orf85	780.6604
SUDS3	1568.8679
CNOT6L	1580.6604
ITIH1	0.9434
OR7C2	0.0000
FAM76B	389.1509
RNF149	859.4340
C5orf60	0.0000
FCGR2C	91.0377
C12orf43	273.5849
SF3B5	1029.2453
CISD1	261.7925
RPRD1B	797.1698
SIRT5	322.1698
PRO1768	0.0000
HDAC8	248.5849
SLC6A1	14.1509
ELOF1	616.5094
CT45A4	0.0000
CACNA2D4	51.8868
IL22RA1	60.8491
PBX3	754.7170
SENP7	663.2075
APOA5	0.4717
ALDH9A1	3197.1698
FGFR3	171.2264
POLL	510.3821
FLVCR2	68.8679
KLHL10	5.6604
tAKR	0.0000
ATP5F1	2094.8113
UFSP2	630.8113
BLK	3.3019
EML6	25.9434
QRFP	0.4717
CNGA1	90.0943
TBCA	891.0377
TMEM174	0.0000
P2RY14	79.7170
SLC14A2	19.8113
STARD5	90.0943
DOPEY2	900.0000
THAP2	103.3019
PDE8A	538.6792
C19orf41	0.4717
KCNA6	70.2830
NEO1	2563.6792
G0S2	1416.5094
MBNL1	4576.2217
CDC37	2240.5660
MORN4	173.5849
RUFY2	438.6792
IL12RB2	98.5849
BNC1	51.8868
OR52A1	0.0000
BAT3	3796.6981
FRYL	1711.7925
PCDHA5	1.2311
C6orf227	0.0000
RFC3	350.9434
NOMO3	1399.5283
MPZ	22.1698
CENPBD1	279.2453
LOC283856	1.4151
CCBL1	93.3962
ERMAP	554.7170
PUM1	3000.0000
DOM3Z	333.5236
RGL1	1008.0189
GIMAP5	507.5472
TOM1	1133.4906
MS4A6E	0.0000
PCDH18	745.7547
TMEM206	87.7358
UCK2	344.8113
ACPT	0.0000
FAM180A	105.1887
HPS3	775.6651
CLEC1A	111.7925
TMEM198	66.5094
EXOC3L	76.7689
C2orf53	0.0000
MS4A3	0.0000
TSPAN18	582.5472
DUSP3	2582.0755
CDYL2	89.6226
LPP	1136.3208
C19orf24	260.3774
MEPCE	1519.3396
VPS72	648.5849
HOMER2	676.8868
ADAMTS6	16.5094
WDR11	1315.5660
INSIG1	871.2264
CCDC43	367.4528
DNER	22.1698
RMND5A	2144.8113
LIPT1	167.2217
CD36	7875.0000
ZAR1L	0.0000
NR2F2	1294.3396
HIST1H2BB	0.0000
VGF	0.4717
C1orf26	154.2453
CETN3	265.5660
HPSE2	56.1321
TRAK2	1362.7358
