GeneSymbol	example_TCGA-BH-A18U-11A-23R-A12D-07
MOSPD1	243.3962
CCR6	54.7170
PCP2	29.2453
NANOG	0.4717
NCRNA00051	0.0000
AMIGO1	204.7170
RNF185	1476.3113
GPR144	31.1321
FAM24A	0.0000
PDE6C	0.0000
S100A14	1050.0000
USP4	1577.8302
SPDYA	16.0094
MOSC2	301.4151
FRG1B	285.8491
MMRN1	2856.1321
FLJ40852	28.7736
TMEM167B	1362.2642
ATP6V1C2	69.6698
FGF23	0.0000
DEDD2	368.3962
DTWD2	226.4151
EIF2AK1	2916.2594
CDK15	4.7170
PAPSS1	3046.6981
C6orf115	430.1887
EFNA3	235.3774
LOC348840	2.8302
RIN2	2026.8868
SNORD116-23	0.0000
CAPN8	196.2264
C1orf204	80.8962
NOX4	77.8302
MOCOS	259.9057
OR2M7	0.0000
EEF2	57919.8113
KLRC2	2.3585
NYX	0.0000
MAMSTR	29.2453
BTBD12	257.0755
BRD8	1301.8868
PTPRVP	4.2453
KRT72	0.4717
MIIP	216.9811
AIPL1	0.0000
SLC2A3	1256.1321
SH3GL1	1245.7547
GALNT9	0.4717
LOC91149	0.0000
SHISA7	0.4717
ENGASE	510.3774
OVOL2	179.7170
ALKBH4	154.5943
SLC19A1	137.2642
LOC727896	28.7736
TUBA4B	0.0000
NCRNA00029	0.0000
SNORA20	0.0000
C9orf109	18.3962
NME4	1104.2453
ADIPOR1	2478.3019
SLC25A46	672.6415
LOC729156	0.0000
ENPP3	36.3208
SLC3A2	2197.6415
C17orf51	281.1321
KIAA1210	10.8491
YBX1	4932.5472
KRTAP12-4	0.0000
TSPO	745.2830
PRLR	2517.4528
ZNF460	77.8302
HNRNPL	3881.1321
C12orf71	1.8868
SNX12	242.4528
ARL13A	0.9434
CYR61	18225.0000
ZNF684	50.0000
RAB24	364.1509
LCT	8.0189
ATP2A1	12.2642
SLC26A1	41.5094
LOC146336	0.0000
TGIF2LY	0.0000
ZSCAN16	115.5660
ZNF275	595.7547
CD101	33.4906
TTC27	423.5849
LRRC8C	1027.3585
AATK	50.9434
CPB1	4902.3585
CDH10	5.1887
SUCLG1	1432.0755
TMEM17	57.0755
CNPY1	0.4717
CLCN1	13.6792
LOC388242	26.4151
SPAG4	31.6038
AP4B1	300.0896
C2orf51	0.0000
ASB9	16.0377
APOL4	163.2075
KPNA5	188.6792
WDR24	205.6604
CYP8B1	13.2075
R3HDML	0.0000
LOC100132111	10.3774
CD320	448.1132
CFHR1	50.9434
WDR27	233.4906
KLK8	226.4151
GPSM2	401.4009
MDM2	2152.3585
OR5M11	0.0000
FAM35B	239.1509
TIMM8A	102.3585
FXR1	2227.8302
PARP8	354.2453
SALL3	0.0000
ACOT12	0.4717
RBMS3	126.4151
DAPK3	776.4151
BTNL8	0.0000
SQSTM1	6722.7028
RCN1	2455.6604
IFT80	643.0283
CCDC45	679.7170
UBN1	1773.5849
THAP7	216.9811
GDPD4	0.4717
ARHGAP25	392.9245
HEYL	144.8113
MITD1	220.2830
TRIAP1	387.2642
PYROXD1	550.6368
DUSP23	368.8679
NFYA	1114.1509
MRGPRX3	18.8679
SOBP	163.2075
GMEB1	180.1887
LAPTM5	2627.8302
NBPF9	339.5094
BRI3	826.8868
LOC646762	337.7358
DHTKD1	974.5283
LOC158376	54.2453
CXCL14	7344.3396
MTRF1L	314.1509
KCNK6	253.7736
RBAK	483.9623
GABRD	8.0189
STYK1	88.2075
CADPS	2.3585
TH	0.4717
TMEM88B	0.0000
GATA4	1.4151
CENPH	98.5849
FLII	3041.0377
ATG16L1	753.7736
RPL23AP32	1.4151
FAM92A1	90.5660
KIAA1191	2554.7170
DEAF1	622.6415
ERH	998.1132
SLC35A1	698.1132
ALK	16.0377
PCSK6	670.2830
KIAA1731	490.5660
NOL7	520.7547
MAGEA1	0.0000
ZKSCAN3	85.8491
CCDC59	421.6981
FAM66D	2.8302
RXFP4	0.0000
SNORD4B	0.0000
CDC42BPA	2165.0943
CILP2	26.4151
TPTE2P3	0.9434
GPR81	543.8679
MKS1	327.8302
MTX2	385.3774
UTRN	6391.0377
OR52E4	0.0000
HNRNPA3	5043.8679
NKAIN2	10.3774
SMURF1	960.8538
VSIG10L	70.2830
SLC22A25	0.4717
PDIA5	439.1509
CDH23	125.6274
STK24	3161.7925
IFNA17	0.0000
PHB2	3058.0189
HTN1	0.0000
KIAA0528	1175.4717
KCNQ2	0.0000
UHMK1	627.8302
ATXN8OS	0.0000
MAB21L2	0.9434
ERCC3	1148.1132
NUTF2	1189.6226
NDST4	0.0000
ABL2	1039.1509
TMIE	8.9623
ARHGAP21	2777.3585
FAM19A4	0.0000
REEP5	5397.3632
ZNF540	128.8868
ZNF696	167.9245
TRABD	458.9623
PCNP	2787.2642
MEGF11	6.1321
MYCBP2	2859.4340
C17orf102	0.0000
RASSF8	868.3962
NOLC1	2389.1509
ZFP37	83.0189
DEFB116	0.0000
HTR6	0.0000
FLOT2	2367.9245
MUC20	370.2830
RBBP8	2990.0943
IPO4	943.5047
BEX1	11.7925
CRKL	2006.6038
ZNF473	325.4717
MOSPD3	173.5849
DDX43	7.0755
DLGAP4	1617.9245
CRYGC	0.0000
FER1L5	21.2264
NDUFAF4	217.9245
HSPA12A	502.3585
PLXDC1	581.6038
HCG18	579.1038
SNORD34	0.0000
FKBP6	0.0000
DNAH14	91.0377
SOX9	3909.9057
XYLT1	884.4340
CCL27	0.9434
KIF5C	669.3396
USP3	494.7170
ELL2	1791.0377
TMEM30A	5208.4906
TBC1D10C	51.8868
LYRM7	452.3585
GDI2	4804.2453
TBXAS1	264.1509
ZNF165	154.9953
LRRC3B	43.3962
UGT1A1	0.0000
RNF26	798.5849
HAUS8	113.2075
ITGA8	26.4151
CCR9	1.8868
RFX1	336.7925
CWH43	9.9057
CLEC2A	0.0000
SLC2A6	17.9245
RNF122	292.4528
CDC7	142.9245
TMEM140	569.8208
SNORA38B	0.0000
CNTNAP3	384.9057
BBS4	386.3208
DHX58	350.0000
ACP5	677.3585
FUZ	250.9953
CP	3607.8255
NDFIP1	3247.6415
PGBD2	157.0755
C6orf170	128.3019
IL1RN	51.8868
TRUB2	484.9057
FGFR2	2048.1132
C11orf35	12.3113
KRTAP12-3	0.0000
LOC400043	275.0000
ERAL1	701.8868
CA10	0.4717
RNU6ATAC	0.0000
CCDC144A	42.5472
RHOBTB1	351.4151
WBSCR17	67.4528
PRDM10	340.0943
F9	0.0000
HMGB3L1	0.0000
TLE4	1012.7358
APBB1	905.1887
CEP135	221.6981
CDH16	0.0000
C12orf4	408.4906
CDC42EP5	95.7547
GPR143	54.7170
GTF2E2	365.5660
SNORD115-38	0.0000
ZFAND6	1280.6604
BCAT2	450.4717
CYMP	0.0000
GON4L	1344.4906
RPL27	5951.4151
RASGRF2	168.3962
ACTG1	59597.1698
MEGF9	1798.1132
TARS	1473.5849
LOC150197	0.4717
SLC7A3	38.6792
LYPD6	887.2642
MSC	93.4198
SULT4A1	11.7925
TSTA3	620.2830
ANKRD2	0.9434
TECTB	0.0000
ZNF679	0.0000
TSPAN9	2027.3585
TMEM183A	889.6226
FAM63A	842.9245
HOOK2	794.3396
ZNF672	603.3019
LPCAT4	429.2453
PIGB	320.5236
SCARNA22	0.0000
STARD4	44.8113
NANOS3	6.1321
MED30	180.1887
CACNA1B	3.3019
SAA4	66.0377
DTX2	297.1698
SPAG11A	0.0000
FUS	4062.2642
ANKRD45	13.6792
C2orf14	0.9434
PRSS16	511.7925
AURKB	49.0566
ADAP1	128.6179
NNMT	1981.1321
PTN	5276.8868
PRMT5	1340.5660
FRMD5	19.3396
GNAS	19378.3019
LGALS8	1267.4528
ZNF321	111.5943
NAIF1	183.4906
SECISBP2L	1822.6415
ABP1	6.1321
MS4A2	58.4906
ADH7	0.0000
CDH20	3.7736
B9D2	74.5283
POLD1	306.1321
LEO1	488.6792
UBXN8	108.4906
TMCO3	1382.0755
SNAR-G2	0.0000
TXNDC6	7.5472
ANKRD52	1469.8113
MAN2C1	1090.5660
C8orf34	24.5283
ARF4	4126.8868
MRPL35	658.4906
BCAR3	695.7547
OR1F1	0.0000
VTA1	1020.7547
C16orf59	26.4151
EGFL6	29.2453
MATN2	3384.9057
SGK269	1689.1509
ZNF546	98.1132
PIP5KL1	26.4151
CSNK1A1L	1.8868
FAM63B	369.8113
PCDH20	9.9057
BTF3	10066.9811
MAN1A2	1110.3774
ANKHD1-EIF4EBP3	1513.1038
DNAH17	29.7170
WDR36	936.3208
FAT3	34.9057
C6orf105	56.1321
GHSR	0.0000
ANKRD37	228.6226
CTTN	4382.5472
HARS	1016.9811
PHC2	2379.7170
TP53I3	259.9057
TP53AIP1	72.1698
NCRNA00032	0.0000
PNPT1	599.0566
CCDC153	8.9623
ATP10B	16.5094
CCNB1IP1	859.4340
COG4	1072.6415
OR5R1	0.0000
SLC26A11	373.1132
POMZP3	154.5566
NCAM1	258.0189
CRH	0.4717
FAM116A	1026.4151
KLHL31	188.6038
CLOCK	527.8302
SPDYE3	68.0000
GRIK5	81.1321
ECSIT	550.9434
TPD52	2328.6415
IL11	8.9623
RPF1	595.2830
CACNB1	141.0377
LOC401431	40.1415
TMEM222	728.3019
TBX5	62.2642
SMARCE1	2934.9057
CLCF1	187.2642
MRPS7	781.4009
OCLN	510.3774
C1orf180	0.0000
COL3A1	12061.7925
MAGEC3	1.4151
AFTPH	1772.1698
RBM26	984.9057
WIPF2	1340.5660
MBOAT1	1203.3019
ASAP1	982.5472
COL4A3	50.4717
BCL2L15	5.6604
ADAMDEC1	9.4340
CEBPZ	1566.5094
TMEM82	0.0000
RHBDL1	16.0377
MAGED4	107.5236
MTRF1	116.0377
ZNF469	499.5283
SLC7A6	853.6179
ZNF496	399.0566
TPRXL	8.4906
C1orf163	236.3208
PTGFRN	3021.6981
BHLHE40	8394.3396
ZNF114	6.6038
VAMP4	525.4717
FLJ13197	59.4764
LAMB2	8833.0189
FCN1	61.3208
TTYH3	825.9434
PML	1794.3396
FASTKD5	455.1887
ASB1	729.0802
SEC16B	297.7689
LILRA5	16.9811
DBNDD1	343.8679
ATXN1L	2167.4528
E4F1	329.2453
CCDC109A	436.3208
REEP4	183.4906
ITIH4	95.2830
OR5AN1	0.0000
GPSM1	258.4906
CLDN6	0.0000
ARSA	660.3774
ARL2BP	1325.0000
DAB2	2179.2453
CYSLTR2	14.6226
MYO7A	154.2453
SERPINA7	0.0000
CCDC24	135.7075
SPRN	54.2453
HSPA6	105.6604
ZC3H8	113.2075
ZNF81	178.7736
CCDC121	107.5472
BACH1	1075.0000
RBP4	1226.4151
WARS2	333.9623
ZNF345	131.1321
C1orf69	314.1509
TGM2	981.6038
CSTB	1331.1321
SERPINA3	13591.0377
GSC	16.5094
LASS2	3830.6604
UBLCP1	600.9434
ABHD10	567.9245
RAB5C	2456.1321
RTN1	338.6792
ALPK3	215.0943
ATP6V1E2	68.8679
STAG1	1237.0613
SNORD115-4	0.0000
OR2C1	4.2453
TIRAP	200.9434
DPM3	221.2264
ZNF43	453.7736
MAPKBP1	1155.1887
IKZF5	782.0755
DPH5	376.8962
TBX18	166.0377
C1QA	1523.1132
OR2T35	0.0000
OR11H1	0.0000
OR2A12	0.0000
LOC550643	173.1132
CLEC4C	0.0000
ZNF146	2460.8491
CPSF6	1658.0189
KHDRBS2	0.4717
EVI2A	181.6038
ATP2C1	2952.3160
TTC22	50.9434
DHX37	407.5472
OSBP	2598.1132
FH	1086.3208
PIP5K1C	1170.7547
BCL7A	530.6604
MRVI1	912.7358
FAM70B	36.7925
KIAA0562	852.8302
PI3	79.2453
C15orf58	25.9434
PDE4D	296.2264
WISP2	674.5283
PPP1CA	1807.9764
CCDC97	1071.2264
DOK5	69.8113
SLC25A3	5938.2075
TRIM10	0.0000
FAM160B2	1101.8868
HINT2	409.9057
PA2G4	2560.8491
OR10A5	0.0000
RAB11FIP2	597.1698
BBOX1	902.3585
C1orf187	0.9434
TMEM100	407.0755
MCAM	4964.1509
CDYL	636.3208
PRR16	31.1321
POM121C	911.3208
HUNK	352.3585
ABCA9	966.5094
HIST1H4E	1.4151
RPL13	13809.9057
CLC	0.4717
PCF11	2247.6415
LCE3B	0.0000
CHST12	142.4528
TSHB	0.0000
C22orf29	663.5660
S100A3	11.7925
SMARCD2	2817.4528
ARMC6	482.0755
TM2D1	354.7170
ANKRD36B	83.0189
KCNK2	373.5849
OR2T33	0.4717
ALKBH2	276.4151
SLC22A18	158.9623
TMEM180	58.9623
C15orf32	0.4717
COL4A4	75.0000
KIF3B	1913.2075
HERPUD2	817.4528
ZBTB6	268.8679
LMOD1	4755.1887
ZNF577	226.8868
NGEF	68.3962
