GeneSymbol	example_TCGA-LL-A5YM-01A-11R-A28M-07
CCR6	1.5285
PCP2	885.4923
NANOG	0.0000
NCRNA00051	0.0000
AMIGO1	60.6292
RNF185	1124.9522
GPR144	0.0000
FAM24A	0.0000
PDE6C	0.0000
S100A14	29773.0225
USP4	953.2544
SPDYA	8.3607
MOSC2	711.2470
FRG1B	31.0788
MMRN1	24.4555
FLJ40852	14.7752
TMEM167B	745.8922
ATP6V1C2	64.9191
FGF23	0.0000
DEDD2	1375.6209
DTWD2	93.2365
EIF2AK1	5110.9871
CDK15	0.5095
PAPSS1	754.5536
C6orf115	578.2703
EFNA3	240.9884
LOC348840	0.0000
RIN2	631.7667
SNORD116-23	0.0000
CAPN8	463.6352
C1orf204	57.3532
NOX4	188.5110
MOCOS	486.5622
OR2M7	0.0000
EEF2	50578.5250
KLRC2	0.0000
NYX	0.0000
MAMSTR	48.4015
BTBD12	187.4920
BRD8	1128.0092
PTPRVP	0.5095
KRT72	0.0000
MIIP	959.8777
AIPL1	0.0000
SLC2A3	359.6994
SH3GL1	2395.1089
GALNT9	0.0000
LOC91149	0.0000
SHISA7	0.0000
ENGASE	747.9302
OVOL2	804.9930
ALKBH4	678.9250
SLC19A1	839.6383
LOC727896	3.5664
TUBA4B	0.0000
NCRNA00029	0.0000
SNORA20	0.0000
C9orf109	38.7212
NME4	4014.2657
ADIPOR1	5403.1334
SLC25A46	133.4862
LOC729156	4.4427
ENPP3	1.5285
SLC3A2	3035.5369
C17orf51	38.2117
KIAA1210	1.5285
YBX1	4376.0031
KRTAP12-4	0.0000
TSPO	7234.2377
PRLR	726.0222
ZNF460	15.2847
HNRNPL	5009.2982
C12orf71	0.0000
SNX12	23.4365
ARL13A	0.0000
CYR61	871.2266
ZNF684	17.8321
RAB24	1313.9727
LCT	2.0380
ATP2A1	6.6234
SLC26A1	11.7183
LOC146336	1011.8456
TGIF2LY	0.0000
ZSCAN16	156.8055
ZNF275	304.1651
CD101	8.6613
TTC27	378.5505
LRRC8C	128.3913
AATK	297.5825
CPB1	885890.7146
CDH10	0.0000
SUCLG1	2614.1893
TMEM17	24.9650
CNPY1	0.0000
CLCN1	0.0000
LOC388242	15.2847
SPAG4	124.8249
AP4B1	261.8775
C2orf51	0.0000
ASB9	11.7183
APOL4	223.1563
KPNA5	8.6613
WDR24	976.1814
CYP8B1	0.5095
R3HDML	0.0000
LOC100132111	1.5285
CD320	3847.1532
CFHR1	0.0000
WDR27	24.9650
KLK8	0.0000
GPSM2	166.0222
MDM2	1229.3975
OR5M11	0.0000
FAM35B	145.7139
TIMM8A	158.9606
FXR1	2254.9994
PARP8	16.8131
SALL3	0.0000
ACOT12	2.0380
RBMS3	12.7372
DAPK3	3372.3093
BTNL8	0.0000
SQSTM1	24983.4467
RCN1	1416.8896
IFT80	198.3391
CCDC45	274.6147
UBN1	794.8032
THAP7	2576.4871
GDPD4	0.0000
ARHGAP25	108.0117
HEYL	462.1067
MITD1	139.0906
TRIAP1	714.3039
PYROXD1	189.9733
DUSP23	5247.7391
NFYA	591.5170
MRGPRX3	0.0000
SOBP	50.4394
GMEB1	38.2117
LAPTM5	4126.8628
NBPF9	11.5450
BRI3	3139.4727
LOC646762	24.9650
DHTKD1	1492.2940
LOC158376	14.7752
CXCL14	1231.9450
MTRF1L	144.6949
KCNK6	1112.7245
RBAK	156.0922
GABRD	265.9534
STYK1	2.5474
CADPS	2.5474
TH	0.0000
TMEM88B	0.0000
GATA4	0.0000
CENPH	219.0804
FLII	2271.8125
ATG16L1	437.1418
RPL23AP32	5.6044
FAM92A1	35.1548
KIAA1191	975.6719
DEAF1	865.6222
ERH	2742.0711
SLC35A1	309.2600
ALK	4.0759
PCSK6	1753.6620
KIAA1731	91.7081
NOL7	1169.7873
MAGEA1	435.1038
ZKSCAN3	74.3854
CCDC59	366.8323
FAM66D	44.8605
RXFP4	0.0000
SNORD4B	0.0000
CDC42BPA	138.5811
CILP2	225.7037
TPTE2P3	3.0569
GPR81	52.9869
MKS1	572.1564
MTX2	699.0192
UTRN	173.2263
OR52E4	0.0000
HNRNPA3	5808.1773
NKAIN2	8.1518
SMURF1	808.6409
VSIG10L	15.2847
SLC22A25	0.5095
PDIA5	884.4733
CDH23	18.3416
STK24	1271.1756
IFNA17	0.0000
PHB2	2781.3017
HTN1	0.0000
KIAA0528	188.5110
KCNQ2	43.3066
UHMK1	34.1358
ATXN8OS	0.0000
MAB21L2	0.0000
ERCC3	873.7740
NUTF2	3902.1781
NDST4	0.0000
ABL2	664.3740
TMIE	10.6993
ARHGAP21	493.6951
FAM19A4	0.0000
REEP5	5050.5923
ZNF540	99.8599
ZNF696	236.4030
TRABD	2882.6901
PCNP	895.6821
MEGF11	0.0000
MYCBP2	318.4308
C17orf102	2.0380
RASSF8	23.9460
NOLC1	1503.5027
ZFP37	3.0569
DEFB116	0.0000
HTR6	0.0000
FLOT2	2671.7616
MUC20	207.8716
RBBP8	1603.3626
IPO4	1386.1317
BEX1	2.0380
CRKL	1349.6370
ZNF473	160.9986
MOSPD3	781.5565
DDX43	3.5664
DLGAP4	1816.3291
CRYGC	0.0000
FER1L5	0.5095
NDUFAF4	269.0103
HSPA12A	157.4322
PLXDC1	272.5716
HCG18	315.3738
SNORD34	0.0000
FKBP6	2.6239
DNAH14	91.1986
SOX9	512.0367
XYLT1	65.2146
CCL27	0.5095
KIF5C	29.5504
USP3	258.5607
ELL2	1026.1113
TMEM30A	1114.7625
TBC1D10C	91.1986
LYRM7	238.4410
GDI2	8256.2731
TBXAS1	267.9913
