GeneSymbol	example_TCGA-LL-A5YM-01A-11R-A28M-07
C2orf50	0.0000
SIPA1L3	480.4484
FAM83C	1.0190
SAMHD1	84.9777
DDX1	2395.6184
UBE2W	221.1183
KLHL9	552.7958
ANXA8L2	0.5095
SHKBP1	2500.5732
TMEM55A	80.4993
C9orf114	641.8444
F11	0.0000
RRBP1	7138.9632
NOTCH4	363.7753
IFITM1	8316.3928
ATL1	228.2512
SLC35E2	2.5474
KLHDC9	562.4761
AK2	5889.1861
CRLF3	130.4292
TPMT	562.9856
NAGPA	609.3491
SFT2D2	239.9694
PLCXD1	498.2805
PCYOX1	1423.5129
ANKFN1	1.0190
LDB2	124.3154
OR56A1	0.0000
NCALD	244.5548
B3GNT3	9.6803
C2orf44	273.5957
SIGLEC5	2.0380
EFHC2	0.0000
ARSD	1686.4094
BHLHA15	6.6234
GPR64	10.6993
SIGLEC12	0.0000
DLX5	9.6803
DNAJB11	2080.7540
CFD	2900.5222
ZNF385D	31.0788
GUSBP3	58.0818
PRKAG1	1485.6706
PLEKHB1	675.0732
FAM9B	0.0000
RNF40	3529.2319
TYSND1	1410.2662
KLF12	31.5883
DLEU1	408.6104
OR56A4	0.0000
SLC17A3	0.0000
SPOPL	700.5477
OR56A3	0.0000
NME2	37090.5515
PGLS	5053.1143
NLRC4	14.2657
PDE1C	0.0000
KIAA1797	756.5915
ZC4H2	189.5300
PRMT2	1502.9932
ARFIP2	3404.9166
KATNB1	953.2544
OR2K2	0.0000
FAM104A	1152.3271
VMAC	177.3023
LOC144571	15.8400
RAPGEFL1	356.6425
NDUFS2	5604.8911
PCM1	1768.9466
DEFB103B	0.0000
DOCK2	139.0906
SKI	392.3067
INPP5J	597.1214
BEGAIN	65.2146
NR5A2	26.4934
HSDL1	753.0251
ABCG1	915.0427
SGCD	70.3095
DKK1	0.0000
FLJ40434	0.0000
C2orf74	595.5929
LSM14B	765.7623
DDI2	0.0000
OSGIN2	359.6994
XRCC5	5712.3933
TRIM38	598.6499
GALT	760.1579
TRUB1	84.5752
PLXNB1	717.3608
SEPX1	1077.5697
HTT	1877.4678
NFE2L1	8063.1767
SNX17	5757.2284
LRAT	81.0088
EML1	329.6395
NKX2-8	0.0000
NRL	54.0059
LRP6	216.5329
GPR32	0.0000
LOC100128573	0.0000
RAB39B	2.5474
C17orf73	1.0190
HUWE1	1964.0810
YARS	2943.8288
EMP3	923.7040
DPYSL3	1149.4077
GHRH	0.0000
SLC1A4	1757.2284
DPYSL4	15.7942
BRWD1	422.3666
ZNF486	7.1328
LIM2	0.0000
LAT2	324.5446
IZUMO1	0.0000
OR8J3	0.0000
GPKOW	686.2820
SPACA1	0.0000
SLC8A2	1.5285
TIMP4	316.3928
ZNF283	40.7591
RAPGEF5	116.6730
SSX3	0.0000
WAPAL	420.3286
DNM2	2772.6761
FKBP15	552.2863
PTPRM	804.4835
RNF148	0.0000
FAM156A	281.2381
TMEM225	0.0000
C12orf76	184.4351
ACTR6	562.9856
CHKA	386.1928
LYPLA1	618.5199
SCARNA18	0.0000
PLEKHA4	508.4703
LRRC20	381.0979
TMX4	566.0425
PLSCR5	0.0000
MRGPRX2	0.0000
LOC100130238	0.0000
GDAP1L1	2.0380
PPIL1	835.0529
BASE	0.0000
PXK	16.3037
NOL9	60.1197
DYSF	541.0776
LOC100124692	0.0000
FBLN1	3874.6656
FBXO11	420.8381
SCARNA23	0.0000
SNX29	229.7796
ZNF17	72.3475
RNASEK	9105.1127
ZNF461	60.6292
TBC1D2B	791.2368
ART3	0.0000
EIF1	25080.6267
ACTR3	2020.1248
LRIT1	0.0000
CENPO	186.9061
LOC642929	0.0000
CSPG4PY2	0.0000
MRGPRE	0.0000
GPR65	52.4774
SNORD114-4	0.0000
MEOX2	60.1197
CYC1	5541.2049
TAF5	58.5913
ECT2L	3.5664
SLC11A2	682.2061
PRRG2	1076.5508
LOC340357	0.0000
XPO6	2330.4038
LOC619207	1.5285
LOC149837	94.2555
ZNF263	936.9507
FGGY	225.1942
CHRNA3	1.0190
CCDC152	100.8687
SLC25A18	16.8131
COL24A1	8.6613
CRTC1	578.7798
PRSS45	0.5095
SNAR-C3	0.0000
SLC47A2	0.5095
ELMOD2	314.8643
EIF2AK2	427.9710
ATXN7L1	67.7621
ZNF761	133.9957
C10orf105	0.0000
OR1J4	0.0000
SGSM1	16.3037
PI4KAP1	233.8556
SELT	2220.3541
OR5D18	0.0000
MAP1LC3B	1659.4064
FKBP2	2197.4271
CYP2B7P1	6.6234
C7orf41	1712.9028
PEX13	545.1535
SMTNL1	0.0000
HIST1H3A	0.0000
USP17	0.0000
TGM7	0.0000
CSDA	630.2382
SRCIN1	416.7622
C6orf26	140.8228
PCDHB11	1.5285
SNORD62A	0.0000
IRF2BP2	2472.0418
ZNF599	82.0278
GRWD1	2153.6110
NAGS	309.2600
ADCY4	265.9534
ZNF594	45.3445
NMNAT2	9.6803
NFKBIL1	1823.9715
PGM1	1394.4720
ProSAPiP1	28.0219
TAGLN3	0.5095
C15orf44	1043.9434
PHYHIPL	0.0000
KISS1	7.1328
TRPV1	46.3635
SLC39A4	248.6307
RAB25	4551.7768
PNCK	9.1708
TMEM207	0.0000
SLC28A3	0.0000
C1orf114	0.0000
RAB15	261.8775
SLC27A5	632.6379
PKNOX2	38.7212
ANKRD34B	0.0000
EXOSC3	467.2016
DEFB114	0.0000
DPP7	5239.0778
SFTPD	45.3445
S100A9	281.2381
FGF7	65.7241
PABPC4	2038.9759
LOC339290	274.1052
LHX9	0.0000
KIR3DL3	0.0000
PHPT1	4216.0234
SERBP1	3193.9880
HTR3A	0.0000
SEMA3B	3686.6641
KLHL21	361.2279
LOC338651	7.6423
SNORD56	0.0000
CRNN	0.0000
DRP2	22.9270
CYBA	1507.0692
PC	712.2660
CIAPIN1	1404.6618
MRPL12	7761.5590
NAPB	303.1461
SUCLA2	354.2682
SLC36A2	0.0000
SHMT2	2304.4198
UPF1	3485.4159
PTPRU	831.4864
SLC22A1	8.6613
ISOC1	849.3186
BEST2	0.0000
N6AMT1	266.9724
SETDB1	1045.4719
DENR	1199.8472
THBS3	909.4383
RIMS4	860.0178
IL1F10	0.0000
CTSL2	140.6190
MGC12916	0.5095
ADIG	0.0000
CDK6	66.7431
C15orf17	736.7214
GAB2	317.4118
LOC219347	21.9080
CAPSL	2.0380
IGFN1	4.5854
UPK3B	15.7942
IQCF6	0.0000
EFCAB5	0.0000
NKD1	6.6234
C11orf57	253.7256
KIF14	88.6511
ZXDC	829.9580
PPP2R3C	277.6716
GPD1	2367.0870
MUC2	2088.9059
ACSL5	121.7679
CD81	14781.8112
MED11	337.7914
TTC31	371.9271
LOC100128239	21.9080
CTNS	393.9320
RNF130	1679.7860
RAB27B	34.1358
SUZ12P	245.5738
STK17A	180.3592
EIF1AY	0.0000
ODZ3	63.6862
SLC7A4	1.0190
EIF4ENIF1	523.2454
CNTF	1.5285
ABCC6	4.0759
SCRT2	0.0000
ULK3	763.7244
DERL1	1767.4182
MTHFD1L	404.0250
STEAP4	1839.7656
COX6B1	13866.7686
PRKACG	0.0000
LRRC25	100.8789
ALAD	440.7082
DNAJC12	3239.8421
REST	8.1518
FSD2	0.0000
DYRK2	189.0205
CCDC42B	11.0355
C12orf5	122.7869
GAK	3790.0904
ZNF763	96.8030
SCRIB	1992.6124
SELP	147.2424
LAMA4	1310.4063
SNORA5A	0.0000
PLAC4	6.1139
ADARB1	381.0979
ARL5A	371.9271
TTC17	206.3431
TK1	5534.0721
KRTAP5-6	0.0000
CD58	130.4292
RWDD2B	466.6921
ACCSL	0.0000
HSPB3	0.5095
LOC29034	0.0000
RILPL1	465.4235
DHRS2	531.9068
FBXO43	7.1328
DDX51	1221.7552
APH1B	452.4264
CEACAM21	14.7752
LOC283332	1.0190
PRRT3	1052.6048
LIPT2	17.3226
SLC45A3	316.3928
C1orf93	1124.2797
TBC1D15	758.6295
SELK	1045.4719
MST4	392.3067
CAMK2N1	1004.2033
AIRE	0.0000
NCF1C	37.7022
HMGCS2	18.8511
MTIF2	690.3579
ZSCAN20	27.0029
GFER	1322.1246
CRIP1	17062.7945
C8orf40	863.0748
ZC3H6	150.8088
DDX25	15.2847
CRISPLD1	4.5854
WRB	559.9287
EPB42	8.1518
SH3BP1	491.1425
SNORD111B	0.0000
TEPP	1.0190
STRA13	4044.8351
CLCN5	68.2716
LRRC28	69.2905
CKAP2L	57.0628
KIAA1984	25.3624
MAP4K2	492.1666
DENND4C	462.1067
PLEKHA6	2005.3496
ABCC9	84.5752
HCG4P6	4.9013
NAF1	86.1037
FZD4	624.7306
TCEAL1	4078.9708
RRM2	1801.5539
STOML1	873.7740
SNORD25	0.0000
CDHR3	20.7617
CLCNKA	8.6613
C20orf107	9.6803
DMRTC1B	11.7183
TMC8	131.9577
KSR2	17.3226
CCL8	33.6263
PDCD2	473.3155
TSC22D2	137.0526
LOC283314	8.6613
CNGB1	0.0000
PCMTD2	483.5053
SEC23A	267.4818
NTAN1	570.6279
GREM1	153.3563
SENP1	169.6599
POF1B	11.2088
IGSF6	47.8920
C20orf30	2643.2302
SSX8	0.0000
MYL12B	11881.2890
HOXA10	48.4015
LPCAT1	3116.5457
SAP30	451.4075
FUT2	91.1986
ASB3	123.8059
TNFRSF11A	12.2277
CHRNA4	0.5095
MAN1C1	152.3373
CAST	3249.1810
PLEKHG3	876.3215
C9orf70	0.0000
PRSS37	0.0000
SYBU	3313.9371
KCNQ5	0.0000
TTC4	450.8980
LOC643923	0.0000
TSPAN13	8837.0908
MCM9	7.1328
FECH	433.5753
IGFL1	2.5474
HESX1	12.2277
HLA-DQB1	2805.7572
SDSL	2542.3513
CLDN4	2920.9018
EP300	474.8440
GNB1L	191.6495
XPR1	654.6937
IL2	0.0000
KRTAP2-2	0.0000
HCP5	1085.2121
UBE2T	1015.9215
APCDD1	129.9198
MS4A7	267.4818
GHRL	1.5285
PCNX	363.7753
PDE5A	29.5504
GLRA1	0.0000
AP3S2	1481.8647
TFAP2E	2.0380
SMARCD1	965.9916
RRP1	1859.6357
CNNM4	475.3535
C18orf2	0.0000
KRTAP24-1	0.0000
CMIP	2175.0096
RAB4B	1613.5524
NODAL	3.0569
RAD51L3	235.9037
FLRT3	1.0190
MKKS	1185.5815
IL1RL1	0.0000
LRRC67	0.5095
LOC100192379	0.0000
MAGOHB	299.5797
CHRNG	1.5285
PLA2G6	519.1695
FOXC2	1.0190
PRRG4	41.7781
HIST1H3B	0.0000
RAB21	646.0324
FPR1	100.8789
KBTBD3	113.6161
KRTAP13-3	0.0000
C15orf43	0.0000
PRX	239.9694
DCTN2	4471.7870
AMBRA1	419.8191
IQCB1	193.6059
CRYZL1	369.2829
KIAA0020	631.2572
ERI1	139.6001
AWAT2	0.0000
CHGB	0.0000
NXF5	0.0000
FAM71B	0.0000
CAPN2	4799.8981
CEP170L	0.0000
SNORA78	0.5095
DHX30	3514.4568
C1orf56	1902.0150
C8G	5.6044
ADNP	852.3755
P2RY4	1.5285
PNPLA8	394.3447
PM20D2	6.6234
C2orf56	215.5139
ARGFXP2	0.0000
SMTN	1454.0823
C6orf211	1277.7990
DDX26B	33.6263
BRP44	3694.3065
PPP1R13L	907.4003
RAP1GDS1	442.2367
VCY	0.0000
BUB1B	343.2531
BBS12	75.4044
LYPD5	115.6541
PCGF1	461.0878
GALNT7	572.1564
SUSD3	27.0029
IL1RAP	21.9080
SLC25A45	264.9344
ATXN7L3B	1496.8794
SLC1A1	344.4147
FAM50B	40.2496
CHRNA7	0.0000
C4orf47	1.0190
DEFB136	0.0000
KRT78	0.0000
KCNK18	0.0000
DYRK1A	577.7608
HEPHL1	1.0495
IL16	157.4322
SNORD7	0.0000
MLLT3	19.8701
IREB2	371.9271
PHF10	542.4990
ERAP1	521.0394
PRUNE2	105.9738
FABP9	0.0000
HLA-DPB1	3307.0946
MT1B	0.0000
SLC6A19	0.0000
PRDM6	19.3606
ZNF682	83.5562
PMFBP1	0.0000
IFT52	579.2893
RPL18	42871.9908
MAP4K4	1518.7874
CDNF	25.9840
LANCL2	511.5272
RPIA	390.2688
OR10Z1	0.0000
PTPRN	14.7752
HARS2	1530.5057
FTCD	2.5474
HSD17B7	683.7346
RPL11	16471.7870
TRY6	4.0759
RBM25	730.6076
CXCL12	964.9726
ZFP28	38.7212
PEX3	99.8599
PHEX	0.0000
LUC7L2	1141.7654
C13orf38	3.5664
HN1	10217.8066
OMG	1.5285
FLOT1	6401.2228
TMEM231	245.0643
LOC644936	30.0599
NCRNA00160	8.6613
ARL4A	292.9563
GIMAP7	105.9738
SULT1E1	0.0000
HIRA	693.9243
C11orf46	613.9345
RPE65	0.0000
MMP8	0.5095
C17orf50	10.1898
FRMPD2	0.0000
TRIM58	23.9460
C6orf218	0.0000
FAM196A	195.6439
NIF3L1	506.9418
BMPR2	851.3565
NELL1	1.0190
HEXIM2	2620.8992
KCTD14	27.5124
OR6K6	0.0000
TFB2M	354.6045
SLC4A1	0.0000
UTP15	218.0614
LOC146880	346.2285
NOP2	649.5988
C1orf170	117.1825
OR5H1	0.0000
NCKIPSD	1062.7945
PTGES3	7410.0115
NAT2	2.5474
STS	174.2453
LOC202181	15.7942
MFAP2	1211.5654
XRCC6BP1	105.9738
KRTCAP3	1021.5259
PRIM1	287.3519
FLJ44606	61.1387
MVK	1145.3318
C9orf91	945.6120
UBXN2B	278.1811
ECD	326.0731
HPGD	12.7372
TNNT2	21.9080
ADAM19	146.2234
PAPPA	6.6234
FCGR2A	689.3389
DBF4	142.1475
DNAJB7	0.5299
EIF4EBP3	1807.5965
LRP4	10.1898
LGR4	592.0265
TSPAN1	1993.1219
KCNAB3	0.0000
KLRA1	2.5474
MAZ	8047.4487
DSCR9	3.0569
MYL4	4.5854
RARRES3	2120.4942
FEM1B	1116.2909
LOC100270804	24.9650
UBE2Q2	981.2763
CGGBP1	1277.7990
H6PD	899.7580
C6orf132	270.0293
IL6	27.0029
SLCO4A1	172.7118
ELK4	69.2905
PXMP4	1158.0690
GLYCAM1	0.0000
C2CD4A	0.0000
PHGDH	145.7139
CPA1	4.0759
LAS1L	1130.5566
SNORA21	0.0000
GPX1	11394.7268
LOC541473	3.5613
PARVB	2764.4886
CCDC80	1881.5438
RALB	996.0515
MYOZ1	29.0409
HSPD1	7298.9428
REXO1	720.4178
KCNJ13	0.0000
ARHGAP17	750.9871
PRH1	9.1351
ITGAV	1244.1727
PAIP1	1050.5668
CCDC15	38.7212
C20orf118	7.2398
DGUOK	1413.8326
PLA2G4D	0.0000
DAGLA	32.6073
TECPR2	455.9929
STAT2	1143.2938
C19orf29	848.8091
FRMD7	0.0000
CCT3	16894.6631
EIF5AL1	2880.1427
P4HA1	537.5111
COLEC11	66.7431
GALNTL2	147.7519
SCAF1	4575.7228
GRN	23251.5603
MAPKAPK5	528.0754
C10orf140	1.0190
PWWP2B	717.3608
SGTA	3739.6510
KRTAP4-4	0.0000
OR1E2	0.0000
ENY2	2218.3161
SYT11	151.8278
PTPRCAP	238.9505
SMOC2	3397.2742
MMP17	77.9519
TRPC6	14.7752
SELPLG	544.1345
PPP1R3D	182.9066
RABGAP1	347.9811
TRMT61B	206.1343
MURC	2.0380
FRAT1	214.4950
FAM65B	14.2657
GP6	1.5285
ATP1A4	2.0380
MT1L	39.2307
ELAC2	1378.6779
ZNF479	0.0000
SLAMF1	14.7752
NRG1	3.5664
FAM198A	1128.0092
PCDHGB6	1.5285
PARP2	486.5622
SP140	20.8891
FMNL2	137.5621
IKBKG	1184.5625
RNASEH2B	543.6250
PIN1L	2.5474
SNAR-H	0.0000
CHRNA1	13.2467
TMEM119	653.1652
TNFRSF10A	4.0759
FBXO5	82.0278
TLX3	0.0000
IGFALS	747.9302
FBXW2	673.5448
ZNF773	11.7183
C16orf71	30.0599
CATSPER4	0.0000
TBC1D4	99.3504
TH1L	2388.9950
ELAVL1	1797.4780
OSBP2	591.0075
ANKIB1	368.3607
SPRR2F	0.0000
LOC55908	6.1139
WDR93	27.0029
SNORD114-17	0.0000
CORO1B	3341.2304
SNORD115-44	0.0000
DDOST	6926.5062
RPS18	35223.0289
TBC1D9	8006.6234
PIGR	3.0569
SPATA2	302.1271
OR10W1	0.0000
FBXW12	0.0000
HSPA12B	278.1811
SNORD115-48	0.0000
ALMS1	261.3680
F12	3858.8715
C17orf37	2924.4682
SNORD114-5	0.0000
MYST4	618.5199
SYT9	66.7431
LOC642846	74.8949
FCRL5	29.0409
C21orf58	170.6789
MEIS2	28.0219
WDR18	2510.7630
AOC2	23.9460
AKR1C2	373.9651
ZNF611	49.9299
EIF3G	7939.9873
GABRG1	1.5285
FAS	30.5694
INTS5	984.8427
SMCR7L	865.1127
NEURL4	859.7835
GBP4	147.2424
ADAM7	0.0000
ZNF587	842.3029
PHLDA2	174.7548
TFAM	141.1285
SMG7	2203.5410
BBS10	121.7679
ZNF653	329.1300
MLEC	4629.2192
TOPBP1	513.0557
SCP2	1264.0428
OR5M9	0.0000
ISCA1P1	30.0599
POLR2J2	569.8331
SHC2	1835.1802
OR2W3	3.0569
PSMC4	4710.2280
CCDC90A	534.4542
KRCC1	312.3169
MOS	0.0000
SNORD98	0.0000
DUSP14	787.1609
NCKAP1L	218.5709
KCNG4	0.0000
ZNF48	404.5345
IGFBPL1	0.0000
LECT2	0.0000
GLI3	320.9782
RASGRP3	117.6920
PAX4	0.0000
GPR113	3.0620
OR6M1	0.0000
MDH1	3926.6335
GIPC2	11.2088
GFOD2	686.7915
CEACAM3	0.5095
GOLGA8B	366.3228
SCARNA3	0.0000
POLH	502.8659
FAM155A	5.6044
RAB37	61.1387
LYL1	223.1563
CCDC8	165.0745
C8orf41	475.1242
CD302	169.6599
RANBP2	1056.1712
OOEP	0.0000
MLH3	354.6045
FCAR	0.0000
PARP10	4336.2629
CHPF	9215.0707
FAM71D	29.0409
CCL25	0.0000
ARMC10	832.6837
ACP2	1260.4764
C10orf120	0.0000
KCTD19	1.5285
ZNF585A	114.6351
CRYGN	2.0380
SLC27A1	1168.2588
SUSD1	121.2584
NTN5	3.5664
MARCH5	371.4177
ZMAT1	30.5694
RGS11	442.7156
SLC10A4	1.0190
CAV2	276.1432
WDR90	492.6761
NDUFA8	1631.8940
SOCS1	51.4584
HBM	0.0000
HRAS	1766.3992
RAB32	613.4250
CYSLTR1	3.0569
RBM15B	1684.2135
LARP1	3502.2290
FRY	299.5848
C16orf7	695.9572
MAP2K7	1421.9845
FGFBP1	8.6613
ALPL	214.4950
ZNF641	18.3416
MOBKL1A	337.2819
CHMP4A	3703.3601
SYCP2	199.7198
ZBTB1	305.1841
SMAD4	1003.1843
PCNXL3	1182.0150
HIPK1	339.3198
SAMD4A	244.0453
PEMT	822.3156
OR8K3	0.0000
SDF4	4357.1520
GPR180	127.8818
TMEM8A	1463.7626
OR2T3	0.0000
CTNND2	409.1199
EXOC5	560.4382
MGC42105	9.1708
C16orf87	55.5343
PTPN11	847.7901
SRGAP1	240.4789
USP51	2.0380
GPR82	1.0190
PDS5A	1055.6617
NPM3	606.2922
IMPACT	440.7082
MIER3	146.2234
ABCG2	10.6993
CCDC114	36.1737
AKAP1	1495.3509
CYP4F8	0.0000
JKAMP	881.9259
GSG1L	0.0000
UQCRH	1920.2649
EI24	2319.7045
PAEP	2.0380
ATP5G3	7518.0232
GLDN	137.0526
SLC35A5	367.3417
GAD1	0.0000
VWA2	0.0000
IPPK	126.8883
PGAM5	314.9968
C1orf111	0.0000
ZNF695	0.0000
FERMT3	476.3724
UFC1	4836.0718
TMEM39A	281.7475
TMEM192	499.8089
FTMT	0.0000
SNHG6	1661.4444
CORO7	1200.3159
SNTB1	93.2365
TLR9	8.3709
CPXCR1	0.0000
SIRPA	1143.2938
SLC28A2	0.0000
C17orf63	880.9069
MYCBP	585.4031
PROSC	597.6309
PTK6	210.4191
SAC3D1	938.9887
SLC26A9	2.0380
TMEM211	0.0000
ANGPT1	10.6993
CENPM	1466.3100
ZNF350	93.7460
PSEN2	1337.4092
C11orf10	1673.1627
UCA1	0.0000
CKM	2.5474
PMP2	0.0000
PATE1	0.0000
GAGE2B	0.0000
MAPK8IP3	516.1126
TMPRSS12	0.0000
RCC2	1909.0562
SH3D20	9.6803
DHRS4L1	36.6832
C8orf44	32.5666
TTC23	96.2935
TUBB2A	4039.2307
MTMR4	954.7828
ATG12	373.9651
CDKL1	3.5664
KIAA0753	209.4001
TRMT2B	103.9358
C19orf57	178.3212
SPRY1	142.6570
SOX2	3.5664
MLX	1749.9529
NHEG1	0.0000
METTL9	1267.6092
CD300C	32.6073
OLA1	1539.6765
CLEC12B	0.0000
KRT76	0.0000
CNNM3	1614.5714
DHH	10.6993
HEATR5B	329.6395
CDK2AP1	2254.9994
ITIH3	4.0759
FERMT1	61.6482
C6orf47	1278.3085
HSPB9	6.1139
C20orf111	853.3945
FOXN3	515.0936
SPRR2B	0.5095
NR3C2	18.3416
HSD17B13	3.0569
CALHM3	1.5285
NOX5	18.3416
PHKA2	387.1813
EFNA2	0.5095
CLCA2	6.1139
SLC25A23	1710.3554
NCAPD2	562.9856
TCF19	807.0310
C13orf27	105.4643
NTN4	33.1168
RCBTB2	96.2935
GAS1	137.0526
RCAN2	91.1986
CRLF1	305.1841
EXPH5	63.6862
LOC100130932	105.4643
RASSF10	0.0000
GNE	327.6016
SASH1	120.2395
ATP6V1H	1777.0985
CH25H	28.0219
TMEM74	6.6234
LOC728640	8.6613
CMTM6	1349.1275
SLPI	15.7942
USP17L6P	0.0000
PCDHAC2	8.0703
TIMM8B	1069.4179
C1QL3	5.6044
LOC729603	2.5474
CD40LG	1.0190
PLK5P	0.5095
BMP1	1196.2807
SAP18	4213.9855
SH3GL2	0.5095
ZNF623	121.7679
C2orf28	4519.1797
SNORD114-25	0.0000
ALDH1B1	1110.6865
WDR65	0.0000
GEMIN8	803.9740
CACNG8	0.0000
GNAI3	1016.4310
APOL6	750.4776
ESCO2	69.2905
MEIS3	260.3490
CNTNAP4	0.0000
PPP4R1L	5.0949
MYT1L	0.0000
FAM115C	597.3863
KRT18	44445.9712
EIF3F	2998.3442
NPBWR1	0.0000
SLC9A10	2.5474
TBX4	0.0000
UEVLD	46.8730
QTRT1	1635.9699
MRPS18B	3115.0172
ZNF542	46.3635
KIF13A	263.4059
DUSP12	434.0848
TPR	1358.9454
OSBPL9	274.6147
BTN3A1	370.9082
KLHDC5	333.7155
NONO	3699.4014
BAIAP2L1	2933.1295
PEX26	142.1475
HBA1	212.4570
PILRB	1135.1420
SYTL1	2292.7016
DUOXA2	1.0190
C11orf80	213.9855
NBPF1	140.6190
CELSR3	518.6193
C15orf62	16.8131
SPATA5	67.2526
KRTAP10-11	0.0000
BTN3A2	1151.9552
STAG3L2	30.0599
FLNC	203.2862
NFATC3	628.7097
GPAT2	48.9110
EBF2	1.0190
MDGA2	0.0000
HEY1	184.4351
HNRNPC	10219.8446
RBM33	334.7344
MOV10L1	65.2146
WNT7A	1.5285
TRIM15	0.0000
ACTL8	0.0000
CALHM1	5.6044
DEPDC6	263.9154
NIPA2	730.6076
IL1F5	0.5095
LOC100190940	0.0000
C22orf41	52.9869
SAA3P	0.0000
GAST	0.0000
TAS2R10	0.0000
OR6B2	0.0000
FAP	574.1944
TSLP	0.5095
CDK5R2	2.5474
TRH	119.7300
YY1	612.4061
SRXN1	1167.7493
USP8	681.6966
CD99	5039.8675
INF2	4282.2570
CDRT15	0.0000
FAM125B	177.8117
EPR1	1033.1932
PLA2G2E	0.0000
GAN	15.2847
SNORD114-12	0.0000
CLECL1	1.5285
ALB	3.0569
DRG2	796.8412
GLIS1	7.6423
MRPS31	155.9037
LRRC18	1.0190
WDR8	544.1345
CYP3A43	0.0000
TMIGD1	0.0000
PIGO	1482.6137
MOSC1	1270.6662
CNTN5	0.0000
ODAM	0.0000
TDRD5	0.0000
OR10A6	0.0000
CSNK2A2	789.7083
DCP1A	286.3330
C17orf86	153.8657
ASB17	0.0000
USPL1	186.9825
C19orf22	4445.8031
ALS2	306.7125
KLRB1	17.3226
LOC100130274	0.0000
MTFMT	310.7884
DALRD3	1756.3622
RAE1	1192.2048
MMP10	8.1518
RGS20	0.5095
ENDOG	360.8305
LEAP2	20.3796
OGG1	732.1360
CEBPB	957.8398
TMEM184A	708.3480
TLL2	5.0949
ZNF702P	1.5285
EDN2	23.9460
URM1	1241.6253
TEX11	0.0000
SBF1P1	0.0000
LAMP1	6068.5263
SRD5A2	0.0000
NT5DC1	461.5972
CLRN1OS	1.5285
GSDMA	25.9840
AADAT	37.7022
ZNF397	129.8943
FN3KRP	1475.4808
NUBP2	3420.2012
DNAH1	28.0219
NXPH2	0.0000
FBN3	0.0000
OR4K13	0.0000
PMM1	1687.9378
KRT80	88.1416
NCOA3	670.9973
BHLHE22	13.7562
TAX1BP3	2033.2747
HM13	7049.2218
TCTE1	2.0380
TRAPPC5	3652.0189
RNF216L	345.1891
CCL24	0.0000
CDKL2	0.0000
LCNL1	0.0000
ENTPD6	5756.7189
MFSD11	918.7263
RFC4	526.8119
EXOC1	351.5476
KCNAB2	137.0526
MYBL2	1217.6793
MTCP1NB	924.4580
ATP9B	248.6307
S1PR3	311.8074
VASP	4359.1899
PTPN22	9.6803
KIAA1324L	473.8250
UNCX	0.0000
ANGPT2	84.0657
MAFG	304.1651
ZNF815	93.2365
MS4A8B	0.0000
DEFB107A	0.0000
C7orf71	0.0000
HKDC1	0.0000
MAEL	1.0190
POLR2G	1636.4794
INADL	289.3899
CACHD1	71.3285
C19orf54	553.3053
SLC18A1	0.0000
C1orf129	0.0000
LUZP1	252.7067
STAG2	422.3666
ZNF157	0.0000
C11orf48	1297.7608
SEC61G	3050.3121
NAALADL1	56.5533
TXNL4A	2688.5747
USP22	1885.6197
LMO4	227.2322
ANKRD44	13.7562
MARCH4	11.2088
PAAF1	437.1418
SIGLEC8	51.9679
UQCRB	8787.6704
TMEM30C	0.0000
IFNB1	0.0000
ALG10	39.7402
MAPKAP1	957.8398
INTS7	1072.9843
MAMLD1	33.1168
MATN4	2.5474
SNORA36C	0.0000
TMEM120B	586.9316
NFX1	1107.1201
ANO10	1435.7407
EHMT1	743.3448
FOSL2	2512.2914
C1orf190	70.5490
MANBAL	1974.2708
IL17B	8.1518
XK	83.5562
LOC100130331	2.0380
NCRNA00119	0.0000
FSCB	0.0000
TMEFF1	12.4366
MATN1	1.0445
GPR101	0.0000
SACS	84.0657
SLCO1C1	0.5095
LIX1L	226.7227
CAMSAP1	233.3461
DDX21	139.0906
EEF1E1	442.2367
ZFP14	114.1256
ZNF652	1270.1567
PPL	482.4863
LOC647288	4.5854
FAM55D	0.5095
STRADA	864.6032
PID1	45.8540
C17orf93	2.5474
FRMPD1	1.5285
RORC	1815.3102
ADORA2A	106.4833
PON2	1436.2502
OR1B1	0.0000
ADCK4	1235.0019
OR4A15	0.0000
CEPT1	282.7665
DCD	0.0000
GYS1	1768.9466
ZDHHC17	205.3242
CLEC1B	0.0000
ATF7IP2	37.1927
OR9G4	0.0000
NCF4	164.0555
EIF2B5	1943.7014
MBNL3	2.0380
YES1	139.6001
GIPR	0.0000
POM121L2	0.0000
E2F2	217.5519
NUP205	494.2046
ITGB7	398.4206
VAX1	0.0000
KIAA1107	9.6803
C4orf52	486.5622
ZNF187	182.3971
WWP1	475.3535
FBXO27	149.2803
UQCRFS1	3577.6334
NLGN3	5.6044
PRAMEF10	0.0000
RELA	1542.2239
C12orf70	1.0190
FAM110A	317.4118
GNB1	4988.9186
OTOP3	0.0000
TRIM63	0.0000
NHLH2	0.0000
TIMM17A	3351.9297
CCDC50	815.6923
DPEP2	94.2555
ZAN	0.0000
TNMD	44.8351
C21orf121	1.5285
DEFB126	0.0000
CHRM4	0.5095
TNNI3	2.0380
SIRT6	1031.7157
SMC1B	4.0759
